jobid	cluster	jobstate	user	project	jobname	endtime	runtime	flag_list	booked	maxmem	core_list	node_list	file_list
20134790	rackham	COMPLETED	saeeds	snic2021-5-248	'interactive.theo'	2021-05-24T18:46:13	00:00:18	.	1	0.0	.	r484	.
20134866	rackham	CANCELLED	saeeds	snic2021-5-248	'METEOR_run_batch'	2021-05-25T11:40:04	16:43:46	!! Swap space was used	10	19.2	10	r406	/sw/share/slurm/rackham/extended_uppmax_jobstats/r406/20134866
20134867	rackham	CANCELLED	saeeds	snic2021-5-248	'METEOR_run_batch'	2021-05-25T11:40:09	16:43:51	!! Swap space was used	10	19.3	10	r168	/sw/share/slurm/rackham/extended_uppmax_jobstats/r168/20134867
20134868	rackham	CANCELLED	saeeds	snic2021-5-248	'METEOR_run_batch'	2021-05-25T11:40:17	16:43:59	!! Swap space was used	10	19.3	10	r184	/sw/share/slurm/rackham/extended_uppmax_jobstats/r184/20134868
20134869	rackham	CANCELLED	saeeds	snic2021-5-248	'METEOR_run_batch'	2021-05-25T11:40:22	16:44:04	!! Swap space was used	10	19.2	10	r365	/sw/share/slurm/rackham/extended_uppmax_jobstats/r365/20134869
20134872	rackham	CANCELLED	saeeds	snic2021-5-248	'METEOR_run_batch'	2021-05-25T11:40:28	16:44:10	!! Swap space was used	10	19.3	10	r43	/sw/share/slurm/rackham/extended_uppmax_jobstats/r43/20134872
20134874	rackham	CANCELLED	saeeds	snic2021-5-248	'METEOR_run_batch'	2021-05-25T11:40:32	16:44:14	!! Swap space was used	10	19.3	10	r98	/sw/share/slurm/rackham/extended_uppmax_jobstats/r98/20134874
20153743	rackham	FAILED	saeeds	snic2021-5-248	'METEOR_run_batch'	2021-05-25T16:54:23	00:00:12	.	10	0.0	.	r279	.
20153797	rackham	FAILED	saeeds	snic2021-5-248	'METEOR_run_batch'	2021-05-26T02:24:38	09:24:59	.	10	19.2	10	r279	/sw/share/slurm/rackham/extended_uppmax_jobstats/r279/20153797
20176917	rackham	COMPLETED	sunjae	snic2021-5-248	'interactive.sjlee'	2021-05-27T21:31:29	04:58:04	Just 12% of booked core and RAM resources were used,!! Less than half the booked cores and RAM were used,!! Less than one-quarter the booked cores and RAM were used,8 cores booked but 1 used,49.2 GB RAM available in booked cores but 0.2 used,6.2 GB RAM available in used cores but 0.2 used	8	0.2	8	r81	/sw/share/slurm/rackham/extended_uppmax_jobstats/r81/20176917
20182115	rackham	COMPLETED	sunjae	snic2021-5-248	'interactive.sjlee'	2021-05-27T21:55:39	00:22:30	Just 75% of booked core and RAM resources were used,8 cores booked but 6 used,49.2 GB RAM available in booked cores but 0.6 used,36.9 GB RAM available in used cores but 0.6 used	8	0.6	8	r81	/sw/share/slurm/rackham/extended_uppmax_jobstats/r81/20182115
20213818	rackham	FAILED	saeeds	snic2021-5-248	'METEOR_run_batch'	2021-05-30T02:43:11	16:17:13	.	10	19.3	10	r68	/sw/share/slurm/rackham/extended_uppmax_jobstats/r68/20213818
20240240	rackham	COMPLETED	saeeds	snic2021-5-248	'interactive.theo'	2021-05-30T17:24:42	00:04:09	.	1	0.0	.	r483	.
20240253	rackham	FAILED	saeeds	snic2021-5-248	'METEOR'	2021-05-30T17:44:25	00:00:12	.	10	0.0	.	r36	.
20240258	rackham	COMPLETED	saeeds	snic2021-5-248	'METEOR'	2021-05-31T01:48:19	07:53:10	.	10	30.5	10	r36	/sw/share/slurm/rackham/extended_uppmax_jobstats/r36/20240258
20251930	rackham	COMPLETED	saeeds	snic2021-5-248	'Oral_FMT_B1'	2021-06-01T07:09:37	20:17:39	.	10	30.5	10	r123	/sw/share/slurm/rackham/extended_uppmax_jobstats/r123/20251930
20251931	rackham	TIMEOUT	saeeds	snic2021-5-248	'Oral_FMT_B1'	2021-06-01T10:52:19	1-00:00:21	.	10	30.6	10	r157	/sw/share/slurm/rackham/extended_uppmax_jobstats/r157/20251931
20251932	rackham	TIMEOUT	saeeds	snic2021-5-248	'Oral_FMT_B1'	2021-06-01T10:52:19	1-00:00:21	.	10	23.6	10	r446	/sw/share/slurm/rackham/extended_uppmax_jobstats/r446/20251932
20251933	rackham	TIMEOUT	saeeds	snic2021-5-248	'Oral_FMT_B1'	2021-06-01T10:52:19	1-00:00:21	.	10	30.7	10	r404	/sw/share/slurm/rackham/extended_uppmax_jobstats/r404/20251933
20251934	rackham	TIMEOUT	saeeds	snic2021-5-248	'Oral_FMT_B1'	2021-06-01T10:52:19	1-00:00:21	.	10	30.6	10	r250	/sw/share/slurm/rackham/extended_uppmax_jobstats/r250/20251934
20251935	rackham	TIMEOUT	saeeds	snic2021-5-248	'Oral_FMT_B1'	2021-06-01T10:52:19	1-00:00:21	.	10	31.0	10	r288	/sw/share/slurm/rackham/extended_uppmax_jobstats/r288/20251935
20251936	rackham	TIMEOUT	saeeds	snic2021-5-248	'Oral_FMT_B1'	2021-06-01T10:52:19	1-00:00:21	.	10	32.9	10	r206	/sw/share/slurm/rackham/extended_uppmax_jobstats/r206/20251936
20251937	rackham	TIMEOUT	saeeds	snic2021-5-248	'Oral_FMT_B1'	2021-06-01T10:52:19	1-00:00:21	.	10	30.6	10	r102	/sw/share/slurm/rackham/extended_uppmax_jobstats/r102/20251937
20272165	rackham	TIMEOUT	saeeds	snic2021-5-248	'interactive.theo'	2021-06-01T23:22:28	01:00:27	.	1	0.0	1	r483	/sw/share/slurm/rackham/extended_uppmax_jobstats/r483/20272165
20272377	rackham	COMPLETED	saeeds	snic2021-5-248	'interactive.theo'	2021-06-02T00:24:34	00:58:56	.	1	2.0	1	r483	/sw/share/slurm/rackham/extended_uppmax_jobstats/r483/20272377
20273032	rackham	COMPLETED	saeeds	snic2021-5-248	'TEST1'	2021-06-02T05:22:20	04:44:44	!! Swap space was used	10	17.5	10	r119	/sw/share/slurm/rackham/extended_uppmax_jobstats/r119/20273032
20272395	rackham	CANCELLED	saeeds	snic2021-5-248	'Oral_FMT_B1'	2021-06-02T13:33:35	13:56:23	.	10	30.2	10	r33	/sw/share/slurm/rackham/extended_uppmax_jobstats/r33/20272395
20272401	rackham	CANCELLED	saeeds	snic2021-5-248	'Oral_FMT_B1'	2021-06-02T13:33:35	13:56:23	.	10	25.1	10	r232	/sw/share/slurm/rackham/extended_uppmax_jobstats/r232/20272401
20272396	rackham	CANCELLED	saeeds	snic2021-5-248	'Oral_FMT_B1'	2021-06-02T13:33:35	13:56:23	.	10	30.6	10	r191	/sw/share/slurm/rackham/extended_uppmax_jobstats/r191/20272396
20272398	rackham	CANCELLED	saeeds	snic2021-5-248	'Oral_FMT_B1'	2021-06-02T13:33:35	13:56:23	.	10	25.3	10	r212	/sw/share/slurm/rackham/extended_uppmax_jobstats/r212/20272398
20272400	rackham	CANCELLED	saeeds	snic2021-5-248	'Oral_FMT_B1'	2021-06-02T13:33:35	13:56:23	.	10	30.5	10	r140	/sw/share/slurm/rackham/extended_uppmax_jobstats/r140/20272400
20272399	rackham	CANCELLED	saeeds	snic2021-5-248	'Oral_FMT_B1'	2021-06-02T13:33:35	13:56:23	.	10	25.0	10	r212	/sw/share/slurm/rackham/extended_uppmax_jobstats/r212/20272399
20272402	rackham	CANCELLED	saeeds	snic2021-5-248	'Oral_FMT_B1'	2021-06-02T13:33:35	13:56:23	.	10	25.1	10	r232	/sw/share/slurm/rackham/extended_uppmax_jobstats/r232/20272402
20272397	rackham	CANCELLED	saeeds	snic2021-5-248	'Oral_FMT_B1'	2021-06-02T13:33:35	13:56:23	!! Swap space was used	10	29.4	10	r142	/sw/share/slurm/rackham/extended_uppmax_jobstats/r142/20272397
20280635	rackham	CANCELLED	saeeds	snic2021-5-248	'TEST2'	2021-06-02T15:36:02	01:07:56	.	10	0.3	10	r220	/sw/share/slurm/rackham/extended_uppmax_jobstats/r220/20280635
20280637	rackham	CANCELLED	saeeds	snic2021-5-248	'TEST2'	2021-06-02T15:36:02	01:07:56	Just 50% of booked core and RAM resources were used,10 cores booked but 5 used,61.6 GB RAM available in booked cores but 0.3 used,30.8 GB RAM available in used cores but 0.3 used	10	0.3	10	r270	/sw/share/slurm/rackham/extended_uppmax_jobstats/r270/20280637
20280634	rackham	CANCELLED	saeeds	snic2021-5-248	'TEST2'	2021-06-02T15:36:02	01:13:26	Just 70% of booked core and RAM resources were used,10 cores booked but 7 used,61.6 GB RAM available in booked cores but 0.3 used,43.1 GB RAM available in used cores but 0.3 used	10	0.3	10	r125	/sw/share/slurm/rackham/extended_uppmax_jobstats/r125/20280634
20280636	rackham	CANCELLED	saeeds	snic2021-5-248	'TEST2'	2021-06-02T15:36:02	01:07:56	Just 60% of booked core and RAM resources were used,10 cores booked but 6 used,61.6 GB RAM available in booked cores but 0.3 used,37 GB RAM available in used cores but 0.3 used	10	0.3	10	r412	/sw/share/slurm/rackham/extended_uppmax_jobstats/r412/20280636
20280633	rackham	CANCELLED	saeeds	snic2021-5-248	'TEST2'	2021-06-02T15:36:02	01:18:56	.	10	17.0	10	r405	/sw/share/slurm/rackham/extended_uppmax_jobstats/r405/20280633
20281203	rackham	TIMEOUT	saeeds	snic2021-5-248	'TEST2'	2021-06-02T23:50:46	08:00:10	.	10	17.8	10	r92	/sw/share/slurm/rackham/extended_uppmax_jobstats/r92/20281203
20287435	rackham	TIMEOUT	saeeds	snic2021-5-248	'TEST2'	2021-06-03T01:29:38	08:00:02	.	10	17.7	10	r287	/sw/share/slurm/rackham/extended_uppmax_jobstats/r287/20287435
